user_id,age,income_bracket,monthly_income,monthly_expenses,emergency_fund_months,total_debt,debt_to_income_ratio,savings_rate,crisis_scenario,crisis_severity,income_loss_percentage,expense_increase_percentage,post_crisis_income,post_crisis_expenses,survival_months,financial_stress_score,recovery_months,will_default,needs_intervention,timestamp
USER_000000,40.960569836134795,mid_level,63826.8262162726,29424.851691741685,10.394113749299223,191836.31695263225,3.005575058716044,0.5389892708743234,job_loss,0.36030983646313397,0.36030983646313397,-0.10809295093894018,40829.39290032655,26244.23264144066,25.27882224687797,0.5563132477576045,3,0,0,2025-07-14 17:10:26.632421
USER_000001,29.366307368780575,entry_level,20379.585811264475,20816.053522191556,3.494749682376503,62346.54285932651,3.0592644736118975,-0.021416907829688633,medical_emergency,0.4111022864595156,0.08222045729190312,0.8222045729190312,18703.96694644273,37931.10791826476,1.8776554377043726,1.0,1,1,1,2025-11-30 17:10:26.632536
USER_000002,24.103711093745467,entry_level,27988.602334563042,17268.81838810136,0.5574049526399727,85021.65630140177,3.0377242595071916,0.3830053326108339,business_failure,0.11067630305773107,0.08854104244618487,0.011067630305773108,25510.462307249105,17459.943285838403,0.8935301394369337,0.5088521839253601,4,1,0,2024-10-10 17:10:26.632620
USER_000003,27.79233572097434,entry_level,24191.223068012394,16536.020431157503,10.911844824945385,31301.02130211076,1.2938999080000846,0.3164454569052866,debt_crisis,0.3208383237951519,0.048125748569272785,0.2566706590361216,23027.00234905804,20780.331693057473,12.702919094019123,0.519182511488445,7,0,0,2025-02-13 17:10:26.632700
USER_000004,37.50636314005706,mid_level,70581.13246738333,33019.4291715598,2.3517943490297424,15960.966348676522,0.22613644455269033,0.53217767954037,job_loss,0.03751687966478458,0.03751687966478458,-0.011255063899435373,67933.1486140003,32647.793386311012,5.084334690580074,0.252041092749537,0,0,0,2026-01-16 17:10:26.632776
USER_000005,22.0,entry_level,20597.04366976447,18520.61809729397,9.626363769048476,7677.614317406451,0.3727532183988541,0.1008118255105998,medical_emergency,0.2793503045276757,0.05587006090553514,0.5587006090553513,19446.285585460762,28868.098708333673,6.868295585912342,0.7619928240237279,0,0,0,2024-11-20 17:10:26.632853
USER_000006,26.876935996328495,entry_level,29438.742297966786,27411.79176089243,0.8885358208090843,52763.9010263388,1.7923286427213634,0.06885316351352247,debt_crisis,0.299904183311129,0.04498562749666935,0.23992334664890322,28114.42200298001,33988.52057780857,0.769594457382456,0.6983054938188048,8,1,0,2025-09-30 17:10:26.632928
USER_000007,38.97516117684277,senior,110150.8005915288,126280.68845427885,7.650689656262558,488635.9694489416,4.436063712881633,-0.14643459490198685,medical_emergency,0.4323558496414251,0.08647116992828502,0.8647116992828502,100625.93199584208,235477.0771541865,3.5788179507716733,1.0,1,0,1,2025-01-17 17:10:26.633032
USER_000008,39.33963230057161,senior,128116.35004783967,72397.54418316683,5.130492220302596,16283.028699284512,0.12709563372047594,0.4349078462184334,job_loss,0.09983082469863776,0.09983082469863776,-0.029949247409591324,115326.38916518448,70229.29222057834,9.359341614173436,0.31154012369009315,0,0,0,2025-11-09 17:10:26.633134
USER_000009,36.044564818858056,senior,120456.0079454916,73166.96634127197,9.066613662516584,137800.56820186388,1.1439908274581123,0.39258350339502146,market_crash,0.15946532963143367,0.0478395988894301,0.03189306592628673,114693.44084155727,75500.48522242057,14.465179715778605,0.389213809384022,3,0,0,2025-07-11 17:10:26.633214
USER_000010,25.29807676528175,entry_level,30790.93326466014,36257.625522632516,2.23884070663243,137413.622786384,4.462794992449889,-0.17754227229762778,medical_emergency,0.15849778338724285,0.03169955667744857,0.3169955667744857,29814.87433048551,47751.13207507647,1.44365152808816,1.0,0,1,1,2025-05-12 17:10:26.633289
USER_000011,26.57536287347177,entry_level,23540.2366458719,10582.684692079589,6.128967630930789,49129.76896356519,2.087055015743895,0.5504427227610132,job_loss,0.13786772142676698,0.13786772142676698,-0.04136031642803009,20294.79785765866,10144.981504557107,14.221548690077999,0.37098074360053784,1,0,0,2025-03-28 17:10:26.633362
USER_000012,30.887425801678766,mid_level,35732.22080165118,21283.34918107505,11.661384992651527,171951.89626411707,4.812236474710556,0.404365340200418,market_crash,0.13897193132713923,0.04169157939814177,0.027794386265427847,34242.48808102721,21874.906809235825,19.04863810594868,0.5704914949987989,2,0,0,2025-05-04 17:10:26.633435
